FID,Id,SPECIES,DATEPLANT,Latitude,Longitude,Rootspace,nearest_st,tree_heigh,tree_sprea,Diameter_a,condition,tree_def_1,tree_def_2,are_over_h,tree_care_,tree_asset,age_class,collected_,date_of_in,inspected
0,0,MALUS 'REDBUD',2016.0,42.6933239,-71.14921983, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
1,0,MALUS 'REDBUD',2016.0,42.69329308,-71.14916501, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
2,0,MALUS 'REDBUD',2016.0,42.69329867,-71.14944508, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
3,0,MALUS 'REDBUD',2016.0,42.6932696,-71.14948288, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
4,0,MALUS 'REDBUD',2016.0,42.69326766,-71.14954238, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
5,0,ACER RUBRUM ARMSTRONG,2016.0,42.69348549,-71.14837597, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
6,0,ACER RUBRUM ARMSTRONG,2016.0,42.69354538,-71.14840014, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
7,0,ACER RUBRUM ARMSTRONG,2016.0,42.69360522,-71.14841043, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
8,0,ACER RUBRUM ARMSTRONG,2016.0,42.69367433,-71.14841905, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
9,0,ACER RUBRUM ARMSTRONG,2016.0,42.69373393,-71.14842868, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
10,0,ACER RUBRUM ARMSTRONG,2016.0,42.69379586,-71.14843734, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
11,0,ACER RUBRUM ARMSTRONG,2016.0,42.69392407,-71.14845205, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
12,0,ACER RUBRUM ARMSTRONG,2016.0,42.69385946,-71.14843824, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , 
